J8515632 GPS Records(1760)					
Time Range:2019-02-02 13:20:00 To 2019-02-03 14:46:00					
NO.	GPS Time	Latitude	Longitude	Speed(KM/H)	Direction
95	2019-02-02 14:15:14	25.037483	89.268712	22	West[274]
96	2019-02-02 14:15:44	25.037798	89.266774	25	West[277]
97	2019-02-02 14:16:14	25.038145	89.264623	24	West[276]
98	2019-02-02 14:16:44	25.038494	89.262436	24	West[277]
99	2019-02-02 14:17:14	25.038785	89.260685	21	West[282]
100	2019-02-02 14:17:44	25.039094	89.258632	24	West[280]
101	2019-02-02 14:18:14	25.039436	89.256543	24	West[282]
102	2019-02-02 14:18:44	25.039758	89.254756	21	West[282]
103	2019-02-02 14:19:14	25.040143	89.253369	9	Northwest[296]
104	2019-02-02 14:19:44	25.040396	89.252418	21	West[290]
105	2019-02-02 14:20:14	25.040934	89.250427	26	West[283]
106	2019-02-02 14:20:44	25.041632	89.248009	31	West[285]
107	2019-02-02 14:21:14	25.042396	89.245352	38	West[283]
108	2019-02-02 14:21:44	25.043394	89.241858	50	West[287]
109	2019-02-02 14:22:14	25.044636	89.237440	58	West[286]
110	2019-02-02 14:22:44	25.045805	89.233334	53	West[286]
111	2019-02-02 14:23:14	25.047029	89.229023	53	West[287]
112	2019-02-02 14:23:44	25.048098	89.225209	49	West[285]
113	2019-02-02 14:24:44	25.049538	89.220196	35	West[287]
114	2019-02-02 14:25:14	25.050323	89.217458	9	West[285]
115	2019-02-02 14:25:44	25.050920	89.215405	10	Northwest[297]
116	2019-02-02 14:26:14	25.051403	89.213592	35	West[287]
117	2019-02-02 14:26:44	25.052243	89.210685	38	West[288]
118	2019-02-02 14:27:14	25.053218	89.207307	44	West[287]
119	2019-02-02 14:27:44	25.054174	89.204009	42	West[287]
120	2019-02-02 14:28:14	25.055103	89.200800	43	West[286]
121	2019-02-02 14:28:44	25.056058	89.197529	35	West[287]
122	2019-02-02 14:29:14	25.056974	89.194329	41	West[287]
123	2019-02-02 14:29:44	25.057625	89.192045	12	Northwest[299]
124	2019-02-02 14:30:14	25.058240	89.189992	34	West[288]
125	2019-02-02 14:30:44	25.059025	89.187280	25	West[286]
126	2019-02-02 14:31:14	25.059689	89.184934	22	West[279]
127	2019-02-02 14:31:44	25.060343	89.182676	34	West[286]
128	2019-02-02 14:32:14	25.061180	89.179654	39	West[286]
129	2019-02-02 14:32:44	25.062049	89.176694	37	West[284]
130	2019-02-02 14:33:14	25.062854	89.173912	35	West[285]
131	2019-02-02 14:33:44	25.063700	89.170907	32	West[286]
132	2019-02-02 14:34:14	25.064376	89.168560	26	West[285]
133	2019-02-02 14:34:44	25.064900	89.166729	19	West[286]
134	2019-02-02 14:35:14	25.065205	89.165654	25	West[285]
135	2019-02-02 14:35:44	25.065927	89.163156	38	West[284]
136	2019-02-02 14:36:14	25.066643	89.159947	40	West[276]
137	2019-02-02 14:36:44	25.066896	89.156765	39	West[273]
138	2019-02-02 14:37:14	25.067196	89.153334	41	West[276]
139	2019-02-02 14:37:44	25.067367	89.151316	31	West[274]
140	2019-02-02 14:38:14	25.067545	89.149280	31	West[272]
141	2019-02-02 14:38:44	25.067796	89.146294	36	West[275]
142	2019-02-02 14:39:14	25.068040	89.143049	39	West[276]
143	2019-02-02 14:39:44	25.068269	89.140560	19	West[269]
144	2019-02-02 14:40:14	25.068545	89.137369	46	West[276]
145	2019-02-02 14:40:44	25.068847	89.133672	35	West[276]
146	2019-02-02 14:41:14	25.069069	89.130880	49	West[275]
147	2019-02-02 14:41:44	25.069478	89.126152	61	West[276]
148	2019-02-02 14:42:14	25.069514	89.121352	57	West[261]
149	2019-02-02 14:43:14	25.068763	89.115574	39	West[260]
150	2019-02-02 14:43:44	25.068267	89.111520	54	West[259]
151	2019-02-02 14:44:14	25.067696	89.107112	53	West[262]
152	2019-02-02 14:44:44	25.067180	89.102827	49	West[261]
153	2019-02-02 14:45:14	25.066685	89.099147	46	West[261]
154	2019-02-02 14:46:14	25.067363	89.094978	25	West[283]
155	2019-02-02 14:46:44	25.067998	89.092569	39	West[287]
156	2019-02-02 14:47:44	25.068818	89.089458	17	West[279]
157	2019-02-02 14:48:14	25.069574	89.086596	44	West[283]
158	2019-02-02 14:48:44	25.070554	89.083005	49	West[287]
159	2019-02-02 14:49:14	25.071116	89.080792	9	West[283]
160	2019-02-02 14:49:44	25.071714	89.078516	40	West[287]
161	2019-02-02 14:50:14	25.072552	89.075289	45	West[286]
162	2019-02-02 14:50:44	25.073400	89.072072	42	West[285]
163	2019-02-02 14:51:14	25.074380	89.068392	47	West[287]
164	2019-02-02 14:51:44	25.075172	89.065227	41	West[281]
165	2019-02-02 14:52:14	25.075054	89.061600	47	West[264]
166	2019-02-02 14:52:44	25.074852	89.057840	37	West[266]
167	2019-02-02 14:53:14	25.074765	89.055867	13	West[269]
168	2019-02-02 14:53:44	25.074656	89.053840	26	West[270]
169	2019-02-02 14:54:14	25.074487	89.050729	40	West[267]
170	2019-02-02 14:54:44	25.074292	89.047103	44	West[265]
171	2019-02-02 14:55:14	25.074078	89.043316	45	West[266]
172	2019-02-02 14:55:44	25.073914	89.040223	37	West[266]
173	2019-02-02 14:56:14	25.073694	89.036400	47	West[266]
174	2019-02-02 14:56:44	25.073505	89.032996	20	West[266]
175	2019-02-02 14:57:07	25.073169	89.031716	22	Southwest[236]
176	2019-02-02 14:57:10	25.072987	89.031654	27	South[199]
177	2019-02-02 14:57:40	25.070429	89.030880	37	South[195]
178	2019-02-02 14:58:10	25.068516	89.030303	15	South[190]
179	2019-02-02 15:00:10	25.066196	89.029752	31	South[185]
180	2019-02-02 15:00:40	25.064349	89.030116	13	South[160]
181	2019-02-02 15:01:10	25.063274	89.030712	14	Southeast[150]
182	2019-02-02 15:01:40	25.062100	89.031360	14	Southeast[145]
183	2019-02-02 15:02:10	25.060892	89.032063	20	South[158]
184	2019-02-02 15:02:40	25.059236	89.032472	15	South[165]
185	2019-02-02 15:03:10	25.057792	89.032676	24	South[171]
186	2019-02-02 15:03:40	25.056125	89.032952	12	South[174]
187	2019-02-02 15:04:10	25.054812	89.033174	12	South[175]
188	2019-02-02 15:04:40	25.053447	89.033378	17	South[174]
189	2019-02-02 15:05:10	25.051896	89.033645	25	South[174]
190	2019-02-02 15:05:40	25.050325	89.033894	17	South[173]
191	2019-02-02 15:06:10	25.048625	89.034240	33	South[169]
192	2019-02-02 15:06:40	25.046876	89.034320	36	South[188]
193	2019-02-02 15:07:10	25.044920	89.034107	20	South[185]
194	2019-02-02 15:07:40	25.043029	89.033965	21	South[186]
195	2019-02-02 15:08:10	25.040912	89.033814	26	South[189]
196	2019-02-02 15:08:40	25.038747	89.033298	23	South[188]
197	2019-02-02 15:09:10	25.036872	89.032978	25	South[186]
198	2019-02-02 15:09:40	25.034198	89.032774	35	South[171]
199	2019-02-02 15:10:10	25.031978	89.033103	25	South[173]
200	2019-02-02 15:11:10	25.030105	89.033360	25	South[174]
201	2019-02-02 15:11:27	25.029325	89.033138	23	Southwest[209]
202	2019-02-02 15:11:50	25.028574	89.032329	15	Southwest[239]
203	2019-02-02 15:12:20	25.027883	89.030667	14	Southwest[246]
204	2019-02-02 15:12:35	25.027620	89.030009	15	West[277]
205	2019-02-02 15:13:05	25.027885	89.028400	26	West[271]
206	2019-02-02 15:13:31	25.027938	89.026169	28	Southwest[240]
207	2019-02-02 15:13:42	25.027640	89.025458	17	West[271]
208	2019-02-02 15:14:05	25.028014	89.024445	16	Northwest[304]
209	2019-02-02 15:14:08	25.028007	89.024303	20	West[269]
210	2019-02-02 15:14:38	25.027876	89.022000	8	West[250]
211	2019-02-02 15:14:52	25.027696	89.021769	18	South[184]
212	2019-02-02 15:15:19	25.026247	89.021503	15	West[277]
213	2019-02-02 15:15:30	25.026272	89.020863	16	Southwest[245]
214	2019-02-02 15:15:53	25.025854	89.020258	16	Southwest[206]
215	2019-02-02 15:16:18	25.024898	89.019618	15	West[260]
216	2019-02-02 15:16:48	25.024305	89.018249	10	South[186]
217	2019-02-02 16:43:19	25.024785	89.019049	18	East[82]
218	2019-02-02 16:43:35	25.024992	89.019840	16	Northeast[37]
219	2019-02-02 16:44:05	25.026236	89.020827	19	Northeast[58]
220	2019-02-02 16:44:09	25.026292	89.021058	23	East[90]
221	2019-02-02 16:44:27	25.026452	89.021760	15	North[2]
222	2019-02-02 16:44:57	25.027872	89.021974	7	East[74]
223	2019-02-02 16:45:27	25.027865	89.023645	26	East[83]
224	2019-02-02 16:45:53	25.027754	89.024756	15	Southeast[150]
225	2019-02-02 16:45:59	25.027718	89.025112	22	East[105]
226	2019-02-02 16:46:06	25.027660	89.025574	22	East[75]
227	2019-02-02 16:46:36	25.027925	89.027654	26	East[93]
228	2019-02-02 16:47:06	25.027616	89.029654	27	East[91]
229	2019-02-02 16:47:17	25.027656	89.030223	17	Northeast[55]
230	2019-02-02 16:47:47	25.028387	89.031840	16	Northeast[64]
231	2019-02-02 16:48:17	25.028683	89.032498	7	Northeast[58]
232	2019-02-02 16:48:47	25.029227	89.033120	12	Northeast[28]
233	2019-02-02 16:49:10	25.030045	89.033360	16	North[356]
234	2019-02-02 16:50:10	25.031532	89.033156	8	North[348]
235	2019-02-02 16:50:40	25.032594	89.032987	28	North[351]
236	2019-02-02 16:51:10	25.035309	89.032676	43	North[3]
237	2019-02-02 16:51:40	25.037429	89.033032	20	North[8]
238	2019-02-02 16:52:10	25.039209	89.033360	19	North[14]
239	2019-02-02 16:52:40	25.041180	89.033796	29	North[2]
240	2019-02-02 16:53:10	25.043460	89.033974	26	North[2]
241	2019-02-02 16:53:40	25.045174	89.034125	16	North[3]
242	2019-02-02 16:54:10	25.047009	89.034294	24	North[5]
243	2019-02-02 16:54:40	25.048725	89.034196	27	North[350]
244	2019-02-02 16:55:10	25.050387	89.033903	20	North[350]
245	2019-02-02 16:55:40	25.051652	89.033680	19	North[347]
246	2019-02-02 16:56:10	25.053289	89.033414	22	North[351]
247	2019-02-02 16:56:40	25.054838	89.033147	14	North[350]
248	2019-02-02 16:57:10	25.056018	89.032934	15	North[352]
249	2019-02-02 16:57:40	25.057374	89.032712	25	North[349]
250	2019-02-02 16:58:10	25.058549	89.032543	13	North[353]
251	2019-02-02 16:58:40	25.059985	89.032276	24	North[347]
252	2019-02-02 16:59:10	25.061538	89.031689	18	Northwest[331]
253	2019-02-02 17:00:10	25.063063	89.030676	7	Northwest[306]
